0,Game,Genre
1,Fortnite,Shooter
2,Leage of Legends,MOBA
3,DOTA 2,MOBA
4,Fifa 19,Sports
5,PUBG,Shooter
6,CS:GO,Shooter
7,Overwatch,Shooter
8,World of Warcraft,MMORPG
9,GTA V,Adventure
10,COD Black Ops 4,Shooter
11,Dead by Daylight,Horror
12,Battlefield V,Shooter
13,Final Fantasy XI,MMORPG
14,Rainbow Six: Seige,Shooter
15,Fallout 76,Adventure
16,Red Dead Redemption 2,Adventure
17,Destiny 2,Shooter
18,Magic: The Gathering,Card
19,Starcraft 2,RTS
20,World of Tanks,Simulation
21,Arma 3,Simulation
22,Escape From Tarkov,Shooter
23,Poker,Card
24,Minecraft,Adventure
25,Farming Simulator,Simulation
26,Age of Empires 2,RTS
27,Dark Souls 3,Adventure
28,Rocket League,Sports
29,NBA 2K19,Sports
30,Final Fantasy VII,RPG
31,Assassin's Creed: Odyssey,Adventure
32,Diablo,RTS
33,Rust,Shooter
34,Fable 2,Adventure
35,Zelda: Ocarina of Time,Adventure
36,Spiderman,Adventure
37,Pokemon,RPG
38,Madden NFL 19,Sports
39,Guild Wars,MMORPG
40,Street Fighter V,Fighting
41,Clash Royale,RTS
42,Monster Hunter World,RPG
43,Bloodborne,Adventure
44,Witcher 3: Wild Hunt,Adventure
45,Zelda: Breath of the Wild,Adventure
46,Halo 5,Shooter
47,Hitman 2,Shooter
48,Soul Calibur VI,Fighting
49,Super Smash Brothers,Fighting
50,Mario Kart,Racing
51,Forza Horizon 4,Racing
52,Tekken 7,Fighting
53,God of War,Adventure
54,Hunt: Showdown,Horror
55,Silent Hill,Horror
56,Skyrim,RPG
57,Super Mario 64,Adventure
58,Star Wars Battlefront 2,Shooter
59,NHL 19,Sports
60,Bioshock,Adventure
61,Gears of War 4,Shooter
62,Borderlands 2,Shooter
63,Fallout 4,Adventure
64,Farcry 5,Adventure
65,Sea of Thieves,Adventure
66,Super Mario Party,Adventure
67,Ring of Elysium,Shooter
68,The Division,Shooter
69,COD WW2,Shooter
70,COD MW3,Shooter
71,COD Black Ops 3,Shooter
72,Doom,Shooter
73,Left 4 Dead 2,Horror
74,Portal 2,Puzzle
75,Titanfall 2,Shooter
76,Alien: Isolation,Adventure
77,Bioshock: Infinate,Adventure
78,No Man's Sky,Adventure
79,Wolfenstein 3D,Shooter
80,Resident Evil 7,Biohazard
81,Super Mega Baseball,Sports
82,Starcraft,RTS
83,Hearthstone,Card
84,Pokemon,Card
85,Yu-Gi-Oh,Card